CourseID,Subject,CourseNumber,Title,Credits,Description
COP3353,COP ,3353,User-Level Introduction to Linux for IT,3,"Description Introduction to a modern Linux distribution; installation in a desktop-friendly virtualized environment, users and software packages management, usage of the shell for navigation, and text processing command line tools."
COP3514,COP ,3514,Program Design,3,The class extends students’ programming knowledge by systematically considering the concepts involved in program design and creation. Students will also build upon their previous programming experience by learning to use the C programming language in a networked environment.
COP3515,COP ,3515,Advanced Program Design,3,Covers problem solving with an emphasis on the creation of programs to be developed and maintained in a variety of environments from small to large IT organizations. Concepts relating to program efficiency are studied.
COP4020,COP ,4020,Programming Languages ,3,"An introduction to the specification, design, and analysis of programming languages. Topics include syntax, operational semantics, type systems, type safety, lambda calculus, functional programming, polymorphism, side effects, and objects."
COP4365,COP ,4365,Software System Development,3,"Analysis, design, and development of software systems using objective methodology with object oriented programming and advanced software development tools (such as integrated development environments)."
COP4368,COP ,4368,Adv Object-Oriented Programming for IT,3,"Advanced object-oriented programming techniques and applications. Topics include GUI design, visual objects, event handling, data validation, interfaces, database connection, etc."
COP4520,COP ,4520,Computing in Massively Parallel Systems,3,"This course will cover basics in large-scale parallel computing and CUDA programming, and advanced techniques for parallel code optimization and domain-specific case studies."
COP4530,COP ,4530,Data Structures,3,"Understand and implement fundamentals of concise data structure and organization for program efficiency, clarity and simplification. Implementation of different data types and structures. Understanding of current data structures. Functional programming concepts will be covered."
COP4538,COP ,4538,Data Structures and Algorithms,3,"Formalizes the concepts of algorithm and time complexity. Data structures such as heaps, lists, queues, stacks, and various forms of trees are covered. Students design and analyze algorithms. Numerous classic algorithms are covered."
COP4600,COP ,4600,Operating Systems,3,"Introduction to systems programming. Design of operating systems. Concurrent processing, synchronization, and storage management policies."
COP4620,COP ,4620,Compilers,3,"Introduction to techniques for compiling software; lexical, syntactic, and semantic analyses; abstract syntax trees; symbol tables; code generation and optimization."
COP4703,COP ,4703,Advanced Database Systems,3,"Database management systems are presented, covering relational, CODASYL, network, hierarchical, and object-oriented models. Backups and database server admin are covered. Best practices for information management are covered."
COP4710,COP ,4710,Database Design,3,"This course covers the fundamentals and applications of database management systems, including data models, relational database design, query languages, and web-based database applications."
COP4931,COP ,4931,Special Topics,3,Topics to be chosen by students and instructor permitting newly developing sub-disciplinary special interests to be explored.
COP5008,COP ,5008,Computing Essentials,2,Introduction to computer programming and its applications to problem solving. Students will also learn about historical computing concepts and computing’s role in society.
COP5227,COP ,5227,C Programming Essentials,2,Fundamental programming concepts involved in program design and creation using the C programming language.
COP5230,COP ,5230,Object-Oriented Programming Essentials,2,Design of a computer program using an Object-Oriented programming language. Extension of programming knowledge from a procedural language to an object-oriented language. Analysis of program requirements.
