ProgramID,CourseID,ProgramRequirementType
MSCS,CAI5846,Elective
MSCS,CAI6605,Elective
MSCS,CAP5745,Elective
MSCS,CAP6100,Elective
MSCS,CAP6101,Elective
MSCS,CAP6109,Elective
MSCS,CAP6110,Elective
MSCS,CAP6455,Elective
MSCS,CAP6736,Elective
MSCS,CDA5416,Elective
MSCS,CDA6328,Elective
MSCS,CIS6214,Elective
MSCS,CIS6373,Elective
MSCS,COP6021,Elective
MSCS,COP6527,Elective
MSCS,COP6625,Elective
MSCS,COP6712,Elective
MSCS,EEL5771,Elective
MSCS,CIS6900,Elective
MSCS,CIS6930,Elective
MSCS,CIS6946,Elective
MSCS,CIS6971,Elective
MSCP,EEL6764,Core
MSCP,COT6405,Core
MSCP,CAI5005,Elective
MSCP,CAI5107,Elective
MSCP,CAI5815,Elective
MSCP,CAP6101,Elective
MSCP,CAP6109,Elective
MSCP,CAP6110,Elective
MSCP,CAP6455,Elective
MSCP,CAP6505,Elective
MSCP,CDA5416,Elective
MSCP,CDA6328,Elective
MSCP,CIS6214,Elective
MSCP,COP6527,Elective
MSCP,CIS6900,Elective
MSCP,CIS6930,Elective
MSCP,CIS6946,Elective
MSCP,CIS6971,Elective
MSAI,CAI5005,Core
MSAI,COP6536,Core
MSAI,COP5008,Core
MSAI,COT5105,Core
MSAI,COP5532,Core
MSAI,CAI5035,Core
MSAI,COP5230,Core
MSAI,COT5407,Core
MSAI,CAI5026,Core
MSAI,CAI5135,Elective
MSAI,CAI5205,Elective
MSAI,CAI5307,Elective
MSAI,CAI5615,Elective
MSAI,CAI5815,Elective
MSAI,CAI5845,Elective
MSAI,CAI5846,Elective
MSAI,CAI6605,Elective
MSAI,CAP6100,Elective
MSAI,CAP6109,Elective
MSAI,CAP6455,Elective
MSAI,CAP6632,Elective
MSAI,CAP6672,Elective
MSAI,CIS6900,Elective
MSAI,CIS6930,Elective
MSAI,CIS6946,Elective
MSCYS,COP6536,Core
MSCYS,CAI5005,Core
MSCYS,CDA6328,Elective
MSCYS,CIS6373,Elective
